,datetime,windspeed,winddir
0,2022-01-01,25.6,322.7
1,2022-01-02,28.2,332.0
2,2022-01-03,27.4,335.3
3,2022-01-04,24.4,336.7
4,2022-01-05,26.6,306.6
5,2022-01-06,25.1,91.1
6,2022-01-07,32.3,20.5
7,2022-01-08,16.5,30.5
8,2022-01-09,20.3,25.0
9,2022-01-10,16.6,2.4
10,2022-01-11,19.5,292.7
11,2022-01-12,34.6,71.2
12,2022-01-13,22.3,20.1
13,2022-01-14,15.8,57.7
14,2022-01-15,17.6,32.6
15,2022-01-16,19.0,344.8
16,2022-01-17,15.9,4.8
17,2022-01-18,16.4,355.8
18,2022-01-19,28.5,142.9
19,2022-01-20,15.0,111.4
20,2022-01-21,26.3,102.9
21,2022-01-22,24.6,93.6
22,2022-01-23,24.1,92.2
23,2022-01-24,17.4,151.2
24,2022-01-25,18.0,68.4
25,2022-01-26,23.8,75.5
26,2022-01-27,18.5,70.4
27,2022-01-28,33.3,57.7
28,2022-01-29,28.7,85.9
29,2022-01-30,18.7,70.5
30,2022-01-31,18.8,34.6
31,2022-02-01,17.4,32.8
32,2022-02-02,13.6,354.2
33,2022-02-03,24.1,272.7
34,2022-02-04,38.2,85.3
35,2022-02-05,22.1,108.0
36,2022-02-06,24.3,96.8
37,2022-02-07,20.6,101.3
38,2022-02-08,20.8,119.3
39,2022-02-09,15.0,322.2
40,2022-02-10,25.3,51.9
41,2022-02-11,15.1,57.0
42,2022-02-12,16.5,24.3
43,2022-02-13,12.4,349.4
44,2022-02-14,20.5,84.7
45,2022-02-15,19.6,68.8
46,2022-02-16,12.9,218.8
47,2022-02-17,21.1,42.6
48,2022-02-18,18.0,360.0
49,2022-02-19,15.2,344.8
50,2022-02-20,13.9,236.3
51,2022-02-21,19.0,199.7
52,2022-02-22,16.5,7.3
53,2022-02-23,12.8,122.8
54,2022-02-24,16.7,181.0
55,2022-02-25,30.4,119.7
56,2022-02-26,16.7,281.6
57,2022-02-27,17.0,56.1
58,2022-02-28,27.3,310.3
59,2022-03-01,17.8,268.7
60,2022-03-02,20.2,38.4
61,2022-03-03,16.4,338.1
62,2022-03-04,16.7,314.4
63,2022-03-05,19.7,118.6
64,2022-03-06,18.2,57.7
65,2022-03-07,14.8,16.9
66,2022-03-08,19.9,198.3
67,2022-03-09,16.2,174.5
68,2022-03-10,14.8,154.4
69,2022-03-11,20.1,94.6
70,2022-03-12,12.9,29.0
71,2022-03-13,13.9,331.3
72,2022-03-14,22.1,339.7
73,2022-03-15,20.8,109.7
74,2022-03-16,22.0,89.2
75,2022-03-17,21.8,77.4
76,2022-03-18,17.7,81.0
77,2022-03-19,15.7,87.2
78,2022-03-20,12.2,44.4
79,2022-03-21,14.0,106.7
80,2022-03-22,10.6,356.2
81,2022-03-23,19.3,1.8
82,2022-03-24,25.5,291.0
83,2022-03-25,22.0,341.3
84,2022-03-26,20.4,333.1
85,2022-03-27,14.2,267.6
86,2022-03-28,23.5,14.3
87,2022-03-29,17.3,347.9
88,2022-03-30,17.6,336.2
89,2022-03-31,14.0,307.2
90,2022-04-01,18.9,288.8
91,2022-04-02,20.1,170.6
92,2022-04-03,19.7,107.7
93,2022-04-04,13.1,33.8
94,2022-04-05,20.8,313.4
95,2022-04-06,26.7,275.1
96,2022-04-07,17.2,218.9
97,2022-04-08,22.4,58.6
98,2022-04-09,20.8,59.4
99,2022-04-10,18.4,62.3
100,2022-04-11,16.6,291.3
101,2022-04-12,24.1,292.7
102,2022-04-13,20.7,241.7
103,2022-04-14,19.5,296.4
104,2022-04-15,22.5,315.4
105,2022-04-16,21.1,105.9
106,2022-04-17,17.3,94.8
107,2022-04-18,25.5,157.5
108,2022-04-19,28.8,110.9
109,2022-04-20,22.9,84.1
110,2022-04-21,11.8,300.3
111,2022-04-22,14.6,279.2
112,2022-04-23,19.4,316.6
113,2022-04-24,15.2,352.8
114,2022-04-25,28.3,204.7
115,2022-04-26,15.0,212.5
116,2022-04-27,18.0,85.9
117,2022-04-28,19.9,329.1
118,2022-04-29,22.1,289.8
119,2022-04-30,21.3,232.9
120,2022-05-01,9.9,150.4
121,2022-05-02,9.9,332.3
122,2022-05-03,11.7,279.8
123,2022-05-04,10.3,172.5
124,2022-05-05,12.1,172.7
125,2022-05-06,16.3,315.4
126,2022-05-07,18.1,323.1
127,2022-05-08,24.7,148.3
128,2022-05-09,11.5,261.1
129,2022-05-10,15.9,299.3
130,2022-05-11,14.9,307.0
131,2022-05-12,16.1,312.2
132,2022-05-13,17.3,314.2
133,2022-05-14,16.7,322.0
134,2022-05-15,21.4,117.7
135,2022-05-16,16.3,84.9
136,2022-05-17,11.4,143.7
137,2022-05-18,13.0,338.6
138,2022-05-19,17.0,320.1
139,2022-05-20,26.1,352.9
140,2022-05-21,29.1,47.2
141,2022-05-22,14.6,218.5
142,2022-05-23,21.9,181.5
143,2022-05-24,12.0,226.5
144,2022-05-25,15.3,327.2
145,2022-05-26,14.8,223.5
146,2022-05-27,16.4,336.0
147,2022-05-28,18.2,333.3
148,2022-05-29,21.2,291.3
149,2022-05-30,17.2,185.5
150,2022-05-31,25.0,210.1
151,2022-06-01,12.0,197.3
152,2022-06-02,10.5,353.7
153,2022-06-03,9.5,354.7
154,2022-06-04,11.5,196.5
155,2022-06-05,26.1,99.3
156,2022-06-06,15.8,128.3
157,2022-06-07,9.9,107.3
158,2022-06-08,13.4,72.1
159,2022-06-09,13.5,176.2
160,2022-06-10,19.0,99.3
161,2022-06-11,10.1,356.2
162,2022-06-12,11.0,304.4
163,2022-06-13,15.0,334.0
164,2022-06-14,25.8,304.8
165,2022-06-15,23.4,195.5
166,2022-06-16,11.1,261.6
167,2022-06-17,16.1,336.1
168,2022-06-18,15.5,322.8
169,2022-06-19,18.6,347.2
170,2022-06-20,22.3,48.5
171,2022-06-21,31.4,45.2
172,2022-06-22,35.7,42.6
173,2022-06-23,18.8,9.4
174,2022-06-24,23.4,213.0
175,2022-06-25,24.1,120.8
176,2022-06-26,29.0,113.9
177,2022-06-27,28.2,102.6
178,2022-06-28,22.9,88.0
179,2022-06-29,11.5,127.2
180,2022-06-30,18.7,48.2
181,2022-07-01,12.2,318.8
182,2022-07-02,14.8,327.9
183,2022-07-03,15.0,265.5
184,2022-07-04,9.0,7.5
185,2022-07-05,13.0,329.1
186,2022-07-06,15.8,287.8
187,2022-07-07,18.7,313.5
188,2022-07-08,9.9,345.2
189,2022-07-09,17.2,6.1
190,2022-07-10,21.3,324.8
191,2022-07-11,16.9,225.9
192,2022-07-12,15.6,290.8
193,2022-07-13,16.4,296.2
194,2022-07-14,24.0,180.3
195,2022-07-15,15.9,50.9
196,2022-07-16,10.1,76.8
197,2022-07-17,7.1,312.8
198,2022-07-18,10.4,333.2
199,2022-07-19,20.5,311.3
200,2022-07-20,10.7,144.1
201,2022-07-21,13.9,129.2
202,2022-07-22,16.4,12.6
203,2022-07-23,23.5,320.5
204,2022-07-24,22.3,229.8
205,2022-07-25,18.2,328.5
206,2022-07-26,14.3,331.3
207,2022-07-27,20.7,252.0
208,2022-07-28,17.8,44.3
209,2022-07-29,17.2,15.6
210,2022-07-30,18.9,350.9
211,2022-07-31,17.7,293.7
212,2022-08-01,25.2,38.1
213,2022-08-02,29.3,40.8
214,2022-08-03,13.4,37.4
215,2022-08-04,20.6,316.6
216,2022-08-05,19.3,277.0
217,2022-08-06,22.8,303.9
218,2022-08-07,22.8,339.8
219,2022-08-08,30.0,230.5
220,2022-08-09,22.9,109.2
221,2022-08-10,15.8,321.6
222,2022-08-11,14.0,340.3
223,2022-08-12,17.6,311.8
224,2022-08-13,30.0,318.1
225,2022-08-14,28.2,207.2
226,2022-08-15,22.1,165.6
227,2022-08-16,19.5,310.0
228,2022-08-17,21.6,326.3
229,2022-08-18,37.0,287.5
230,2022-08-19,31.1,204.0
231,2022-08-20,33.9,209.8
232,2022-08-21,19.8,53.0
233,2022-08-22,11.7,39.1
234,2022-08-23,14.8,34.5
235,2022-08-24,13.9,48.5
236,2022-08-25,16.0,304.5
237,2022-08-26,13.9,329.3
238,2022-08-27,19.7,336.4
239,2022-08-28,21.3,339.7
240,2022-08-29,18.4,326.1
241,2022-08-30,21.0,31.1
242,2022-08-31,19.9,30.9
243,2022-09-01,12.9,8.2
244,2022-09-02,15.0,340.3
245,2022-09-03,16.4,308.5
246,2022-09-04,19.9,330.9
247,2022-09-05,20.8,239.4
248,2022-09-06,19.1,107.1
249,2022-09-07,18.6,17.4
250,2022-09-08,15.7,338.7
251,2022-09-09,12.8,325.8
252,2022-09-10,18.2,322.2
253,2022-09-11,18.6,321.5
254,2022-09-12,30.8,249.5
255,2022-09-13,21.6,61.3
256,2022-09-14,22.1,15.5
257,2022-09-15,14.6,324.1
258,2022-09-16,11.5,5.1
259,2022-09-17,19.4,334.8
260,2022-09-18,29.3,345.7
261,2022-09-19,45.0,327.4
262,2022-09-20,24.2,254.5
263,2022-09-21,19.7,18.6
264,2022-09-22,20.3,5.5
265,2022-09-23,13.4,349.6
266,2022-09-24,19.5,7.8
267,2022-09-25,25.5,9.2
268,2022-09-26,14.9,356.7
269,2022-09-27,20.7,45.6
270,2022-09-28,24.2,32.9
271,2022-09-29,17.0,21.2
272,2022-09-30,13.3,19.9
273,2022-10-01,12.7,338.1
274,2022-10-02,17.9,324.9
275,2022-10-03,20.2,310.5
276,2022-10-04,23.4,334.1
277,2022-10-05,25.8,14.8
278,2022-10-06,21.3,11.4
279,2022-10-07,18.9,15.9
280,2022-10-08,24.2,21.9
281,2022-10-09,24.1,258.2
282,2022-10-10,23.6,9.8
283,2022-10-11,20.3,15.8
284,2022-10-12,14.9,24.2
285,2022-10-13,20.8,29.3
286,2022-10-14,25.3,48.3
287,2022-10-15,34.5,62.5
288,2022-10-16,26.2,23.0
289,2022-10-17,18.6,315.1
290,2022-10-18,17.6,57.7
291,2022-10-19,26.1,145.2
292,2022-10-20,32.3,86.9
293,2022-10-21,21.7,136.3
294,2022-10-22,25.2,126.4
295,2022-10-23,24.3,120.5
296,2022-10-24,24.2,342.5
297,2022-10-25,27.5,282.3
298,2022-10-26,17.0,184.7
299,2022-10-27,24.2,14.6
300,2022-10-28,32.1,97.5
301,2022-10-29,23.0,32.1
302,2022-10-30,19.6,349.8
303,2022-10-31,31.9,321.2
304,2022-11-01,23.5,34.8
305,2022-11-02,23.8,21.3
306,2022-11-03,20.0,347.6
307,2022-11-04,19.9,45.2
308,2022-11-05,27.9,311.9
309,2022-11-06,22.1,4.0
310,2022-11-07,17.6,41.9
311,2022-11-08,22.2,332.6
312,2022-11-09,12.5,279.3
313,2022-11-10,30.4,62.0
314,2022-11-11,24.9,43.4
315,2022-11-12,20.6,23.0
316,2022-11-13,21.3,86.3
317,2022-11-14,25.2,90.4
318,2022-11-15,15.8,355.9
319,2022-11-16,20.3,299.6
320,2022-11-17,23.1,296.5
321,2022-11-18,22.8,303.7
322,2022-11-19,20.2,355.2
323,2022-11-20,20.3,69.2
324,2022-11-21,16.8,8.4
325,2022-11-22,23.0,204.8
326,2022-11-23,18.3,331.2
327,2022-11-24,22.7,317.8
328,2022-11-25,21.1,42.2
329,2022-11-26,36.6,343.7
330,2022-11-27,20.5,30.9
331,2022-11-28,20.1,94.6
332,2022-11-29,12.0,31.1
333,2022-11-30,15.3,180.8
334,2022-12-01,14.2,48.9
335,2022-12-02,23.7,300.8
336,2022-12-03,29.3,274.4
337,2022-12-04,23.4,339.2
338,2022-12-05,26.5,37.6
339,2022-12-06,26.5,357.6
340,2022-12-07,38.1,305.4
341,2022-12-08,26.0,71.2
342,2022-12-09,19.8,45.3
343,2022-12-10,17.2,303.1
344,2022-12-11,21.7,1.7
345,2022-12-12,13.5,56.5
346,2022-12-13,15.2,13.0
347,2022-12-14,17.2,293.2
348,2022-12-15,22.0,310.5
349,2022-12-16,19.5,355.6
350,2022-12-17,30.5,243.8
351,2022-12-18,17.9,290.3
352,2022-12-19,23.8,327.9
353,2022-12-20,17.3,331.0
354,2022-12-21,18.9,52.6
355,2022-12-22,18.6,29.8
356,2022-12-23,14.9,285.1
357,2022-12-24,16.9,293.3
358,2022-12-25,31.5,287.9
359,2022-12-26,30.1,345.5
360,2022-12-27,18.5,1.7
361,2022-12-28,35.5,358.2
362,2022-12-29,21.3,209.5
363,2022-12-30,22.8,104.3
364,2022-12-31,16.6,20.4
365,2023-01-01,19.3,19.8
366,2023-01-02,17.1,304.2
367,2023-01-03,19.4,285.2
368,2023-01-04,19.1,292.4
369,2023-01-05,17.7,60.5
370,2023-01-06,33.2,97.2
371,2023-01-07,22.2,97.0
372,2023-01-08,17.7,44.6
373,2023-01-09,15.4,325.7
374,2023-01-10,14.0,132.8
375,2023-01-11,23.8,69.0
376,2023-01-12,29.4,71.3
377,2023-01-13,13.1,29.1
378,2023-01-14,11.6,38.4
379,2023-01-15,12.9,16.2
380,2023-01-16,16.3,47.8
381,2023-01-17,14.6,353.6
